-0.00000, 5.84409
0.50000, 7.71575
1.00000, 9.62073
1.50000, 11.16128
2.00000, 12.48915
2.50000, 13.60922
3.00000, 14.64424
3.50000, 15.49888
4.00000, 16.25427
4.50000, 16.94732
5.00000, 17.46721
5.50000, 17.91730
6.00000, 18.37462
6.50000, 18.71990
7.00000, 19.10498
7.50000, 19.34631
8.00000, 19.56203
8.50000, 19.77965
9.00000, 19.96185
9.50000, 20.14929
10.00000, 20.26204
10.50000, 20.36297
11.00000, 20.46341
11.50000, 20.54634
12.00000, 20.64409
12.50000, 20.72869
13.00000, 20.76432
13.50000, 20.79996
14.00000, 20.86012
14.50000, 20.89125
15.00000, 20.90946
15.50000, 20.93687
16.00000, 20.95481
16.50000, 20.98228
17.00000, 20.99681
17.50000, 21.02780
18.00000, 21.02773
18.50000, 21.03688
19.00000, 21.05511
19.50000, 21.06420
20.00000, 21.07331
20.50000, 21.07331
21.00000, 21.07234
21.50000, 21.08242
22.00000, 21.09152
22.50000, 21.09152
23.00000, 21.09152
23.50000, 21.09152
24.00000, 21.09152
24.50000, 21.09152
25.00000, 21.10069
